fecha_factura,cantidad,descripcion,valor_unitario,descuento,proveedor,numero_factura
22/05/2024,1.0,COLISTINA 150 MG/ML - COLISTIPHARM (AMP).,101.694915255,0.0,CORPORACION NUEVA FENIX S.A.C.,E001123220601067936
22/05/2024,2.0,TIGECICLINA 50 MG/ML - TIGACYL (AMP).,338.983050848,0.0,CORPORACION NUEVA FENIX S.A.C.,E001123220601067936
23/05/2024,30.0,LOPERAMIDA 2 MG (TAB).,0.8508474577,0.0,CORPORACION NUEVA FENIX S.A.C.,E001123320601067936
25/05/2024,6.0,COLISTINA 150 MG - COLISTIMETATO (AMP).,101.694915255,0.0,CORPORACION NUEVA FENIX S.A.C.,E001123820601067936
25/05/2024,2.0,FOSFATO DE SODIO MONOBASICO/DIBASICO (FCO).,43.220338984,0.0,CORPORACION NUEVA FENIX S.A.C.,E001123920601067936
28/05/2024,1.0,COLISTINA 150 MG - COLISTIPHARM (AMP).,101.694915255,0.0,CORPORACION NUEVA FENIX S.A.C.,E001124320601067936
28/05/2024,9.0,5-FLUOROURACILO 50 MG (AMP).,60.0,0.0,CORPORACION NUEVA FENIX S.A.C.,E001124420601067936
28/05/2024,1.0,DOXORRUBICINA 50 MG/ML (AMP).,130.0,0.0,CORPORACION NUEVA FENIX S.A.C.,E001124520601067936
29/05/2024,1.0,PLACA DE RETORNO MONOPOLAR - 3M.,67.7966101695,0.0,CORPORACION NUEVA FENIX S.A.C.,E001124620601067936
29/05/2024,5.0,GASA 48 X 48 DOBLE EMPAQUE RADIOPACO.,41.5254237289,0.0,CORPORACION NUEVA FENIX S.A.C.,E001124620601067936
29/05/2024,2.0,TUBO DE ASPIRACIÓN 3 MTS.,40.677966102,0.0,CORPORACION NUEVA FENIX S.A.C.,E001124620601067936
29/05/2024,1.0,MÁSCARA DE RESERVORIO.,23.7966101695,0.0,CORPORACION NUEVA FENIX S.A.C.,E001124620601067936
29/05/2024,4.0,TIGECICLINA 50 MG/ML - TIGACYL (AMP).,338.983050848,0.0,CORPORACION NUEVA FENIX S.A.C.,E001124820601067936
29/05/2024,3.0,COLISTINA 150 MG - COLISTIPHARM (AMP).,101.694915255,0.0,CORPORACION NUEVA FENIX S.A.C.,E001124920601067936
29/05/2024,1.0,FLUMAZENIL 0.5 MG/5 ML (AMP).,70.7627118645,0.0,CORPORACION NUEVA FENIX S.A.C.,E001124920601067936
29/05/2024,6.0,DOBUTAMINA 250 MG/20 ML - DOBULEX (AMP).,95.3389830509,0.0,CORPORACION NUEVA FENIX S.A.C.,E001125020601067936
31/05/2024,2.0,TIGECICLINA 50 MG - TIGACYL (AMP).,338.983050848,0.0,CORPORACION NUEVA FENIX S.A.C.,E001125520601067936
30/04/2024,20.175,GASOHOL PREMIUM,15.18102493,0.0,COMPETROL S.A.C.,E001359020601527457
30/04/2024,10.0,DIESEL B5 S50,15.43220339,0.0,COMPETROL S.A.C.,E001359520601527457
30/04/2024,8.0,GASOHOL PREMIUM,18.73728814,0.0,COMPETROL S.A.C.,E001359520601527457
