fecha_factura,cantidad,descripcion,valor_unitario,descuento,proveedor,numero_factura
26/03/2024,4.0,TIGECICLINA 50 MG - TYGACIL (AMP).,381.355932204,0.0,CORPORACION NUEVA FENIX S.A.C.,E001105520601067936
26/03/2024,2.0,COLISTINA 150 MG COLISTIMETATO (AMP).,101.694915255,0.0,CORPORACION NUEVA FENIX S.A.C.,E001105520601067936
26/03/2024,6.0,CRESEMBA (ISAVUCONAZOL 100 MG) (TAB).,247.966101695,0.0,CORPORACION NUEVA FENIX S.A.C.,E001105620601067936
26/03/2024,4.0,IRINOTECAN CLORHIDRATO 100 MG/5 ML (AMP).,300.0,0.0,CORPORACION NUEVA FENIX S.A.C.,E001105720601067936
27/03/2024,4.0,TIGECILINA 50 MG - TYGACIL (AMP).,381.355932204,0.0,CORPORACION NUEVA FENIX S.A.C.,E001105920601067936
27/03/2024,1.0,COLISTINA 150 MG COLISTIMETATO (AMP).,101.694915255,0.0,CORPORACION NUEVA FENIX S.A.C.,E001105920601067936
27/03/2024,4.0,TIGECILINA 50 MG - TYGACIL (AMP).,381.355932204,0.0,CORPORACION NUEVA FENIX S.A.C.,E001106020601067936
27/03/2024,1.0,COLISTINA 150 MG COLISTIMETATO (AMP).,101.694915255,0.0,CORPORACION NUEVA FENIX S.A.C.,E001106020601067936
27/03/2024,4.0,TIGECILINA 50 MG - TYGACIL (AMP).,381.355932204,0.0,CORPORACION NUEVA FENIX S.A.C.,E001106120601067936
27/03/2024,1.0,COLISTINA 150 MG COLISTIMETATO (AMP).,101.694915255,0.0,CORPORACION NUEVA FENIX S.A.C.,E001106120601067936
27/03/2024,4.0,TIGECILINA 50 MG - TYGACIL (AMP).,381.355932204,0.0,CORPORACION NUEVA FENIX S.A.C.,E001106320601067936
27/03/2024,1.0,COLISTINA 150 MG COLISTIMETATO (AMP).,101.694915255,0.0,CORPORACION NUEVA FENIX S.A.C.,E001106320601067936
27/03/2024,6.0,CRESEMBA (ISAVUCONAZOL 100 MG) (TAB).,247.966101695,0.0,CORPORACION NUEVA FENIX S.A.C.,E001106420601067936
27/03/2024,1.0,COLISTINA 150 MG COLISTIMETATO (AMP).,101.694915255,0.0,CORPORACION NUEVA FENIX S.A.C.,E001106420601067936
27/03/2024,6.0,CRESEMBA (ISAVUCONAZOL 100 MG) (TAB).,247.966101695,0.0,CORPORACION NUEVA FENIX S.A.C.,E001106520601067936
27/03/2024,2.0,CRESEMBA (ISAVUCONAZOL 100 MG) (TAB).,247.966101695,0.0,CORPORACION NUEVA FENIX S.A.C.,E001106620601067936
27/03/2024,150.0,ROSUVASTATINA 20 MG - CRESTOR (TAB).,8.6186440678,0.0,CORPORACION NUEVA FENIX S.A.C.,E001106720601067936
27/03/2024,20.0,CICLOBENZAPRINA 10 MG - TENSODOX (TAB).,6.5254237289,0.0,CORPORACION NUEVA FENIX S.A.C.,E001106720601067936
26/04/2024,2.0,ALITRAQ (SOBRE).,30.5084745763,0.0,CORPORACION NUEVA FENIX S.A.C.,E001113820601067936
27/04/2024,38.0,FLUIMUCIL 300 MG/3 ML (AMP).,13.5593220339,0.0,CORPORACION NUEVA FENIX S.A.C.,E001113920601067936
27/04/2024,5.0,ALITRAQ (SOBRE).,30.5084745763,0.0,CORPORACION NUEVA FENIX S.A.C.,E001114120601067936
26/04/2024,11000.0,DICLOFENACO 1% GEL X 50GR,2.08728814,0.0,IGAN PERUANA SA,E001152620606267241
